Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Rathore, A; Jesubalan, N; Thakur, Garima; ",Perspectives on process analytical technology,BioPharm International,35,5,31-35,2022,
"Nikita, Saxena; Thakur, Garima; Jesubalan, Naveen G; Kulkarni, Amey; Yezhuvath, Vinesh B; Rathore, Anurag S; ",AI-ML applications in bioprocessing: ML as an enabler of real time quality prediction in continuous manufacturing of mAbs,Computers & Chemical Engineering,164,,107896,2022,Pergamon
"Rathore, Anurag Singh; Nikita, Saxena; Jesubalan, Naveen G; ",Digitization in bioprocessing: The role of soft sensors in monitoring and control of downstream processing for production of biotherapeutic products,Biosensors and Bioelectronics: X,12,,100263,2022,Elsevier
"Chhabra, Hemlata; Jesubalan, Naveen G; Rathore, Anurag S; ",Soft sensor based rapid detection of trace chlorine dioxide (ClO2) concentration in water,Water Research,242,,120231,2023,Pergamon
"Banerjee, Shantanu; Jesubalan, Naveen G; Kulkarni, Amey; Agarwal, Anshul; Rathore, Anurag S; ",Developing cyber-physical system and digital twin for smart manufacturing: Methodology and case study of continuous clarification,Journal of Industrial Information Integration,38,,100577,2024,Elsevier
"Banerjee, Shantanu; Jesubalan, Naveen G; Nikita, Saxena; Rathore, Anurag S; ",Multi-objective optimization of continuous CHO cell clarification using acoustic wave separation,Separation and Purification Technology,338,,126579,2024,Elsevier
"Sharma, Rashmi; Jesubalan, Naveen G; Rathore, Anurag S; ",Application of ensemble learning to augment fluorescence-based PAT and enable real-time monitoring of protein refolding,Biochemical Engineering Journal,204,,109252,2024,Elsevier
"Banerjee, Shantanu; Mandal, Shyamapada; Jesubalan, Naveen G; Jain, Rijul; Rathore, Anurag S; ",NIR spectroscopy—CNN‐enabled chemometrics for multianalyte monitoring in microbial fermentation,Biotechnology and Bioengineering,121,6,1803-1819,2024,
"Jesubalan, Naveen G; Thakur, Garima; Rathore, Anurag S; ",Deep neural network for prediction and control of permeability decline in single pass tangential flow ultrafiltration in continuous processing of monoclonal antibodies,Frontiers in Chemical Engineering,5,,1182817,2023,Frontiers Media SA
"Nikita, Saxena; Banerjee, Shantanu; Jesubalan, Naveen G; Kulkarni, Amey; Gupta, Keshari; Rathore, Anurag S; ",Holistic process control framework for smart biomanufacturing: A deep learning driven approach,Computers & Chemical Engineering,187,,108742,2024,Pergamon
"Anupa, Anupa; Jesubalan, Naveen G; Trivedi, Rishika; Nitika, Nitika; Buddhiraju, Venkata Sudheendra; Runkana, Venkataramana; Rathore, Anurag S; ",Implementation of machine learning tool for continued process verification of process chromatography unit operation,Journal of Chromatography A,1742,,465642,2025,Elsevier
"Jesubalan, Naveen G; Saxena, Nikita; Yezhuvath, Vinesh Balakrishnan; Deore, Navnath; Rathore, Anurag S; ",AI‐Enhanced Continued Process Verification for Ultrafiltration/Diafiltration,Biotechnology and Bioengineering,123,1,146-163,2026,
"Jesubalan, Naveen G; Nikita, Saxena; Banerjee, Shantanu; Deore, Navnath; Gupata, Keshari; Rathore, Anurag S; ",Q-learning agent-based level control of surge tanks for improved continuous manufacturing of monoclonal antibodies,Computers & Chemical Engineering,,,109514,2025,Pergamon
"Sharma, Rashmi; Jesubalan, Naveen G; Rathore, Anurag S; ",Integrating Ensemble NSGA‐II for Multi‐Objective Process Optimization: Refolding of Proinsulin as a Case Study,Biotechnology and Bioengineering,123,3,670-691,2026,
"Dash, Rozaleen; Sreenivasan, Shravan; Chowdhury, Anandi; Jesubalan, Naveen G; Chirmule, Narendra; Sauna, Zuben E; Rathore, Anurag S; ",Cytokine expression mediated immunogenic response of therapeutic IgG aggregates obtained by forced degradative stress factors and the role of a deep neural network in its prediction,Biochemical and Biophysical Research Communications,,,153536,2026,Academic Press
"Jesubalan, Naveen G; Chhabra, Hemlata; Rathore, Anurag S; ",A Prediction Framework for Quantification of Milk Adulterants Using a NIR‐Coupled Boosting Algorithm,Journal of Food Science,91,3,e70966,2026,
"Jesubalan, Naveen G; Sharma, Rashmi; Rathore, Anurag S; ",MOO‐based implementation of process analytical technology framework: Protein refolding as a case study,AIChE Journal,72,6,e70335,2026,"John Wiley & Sons, Inc. Hoboken, USA"
